Load ID,Assigned Tank,Entry Time (s),Exit Time (s),Target Dip (s),Actual Dip (s),Status
1,LOADING/UNLOAD,1922.0,2162.0,240.0,240.0,✓ PASS
1,SOAK,2192.0,2523.2,300.0,331.2,✓ PASS
2,LOADING/UNLOAD,2518.2,2758.2,240.0,240.0,✓ PASS
1,DERUSTING,2560.4,2860.4,300.0,300.0,✓ PASS
1,CASCADE RINSE3,2890.4,2920.4,30.0,30.0,✓ PASS
1,CASCADE RINSE4,2950.4,2980.4,30.0,30.0,✓ PASS
2,SOAK,2788.2,3272.1,300.0,483.9,✓ PASS
3,LOADING/UNLOAD,3267.0,3507.0,240.0,240.0,✓ PASS
2,DERUSTING,3309.3,3609.3,300.0,300.0,✓ PASS
2,CASCADE RINSE3,3639.3,3669.3,30.0,30.0,✓ PASS
2,CASCADE RINSE4,3699.3,3729.3,30.0,30.0,✓ PASS
1,ZINC PHOSPHATING,3018.4,3768.4,750.0,750.0,✓ PASS
1,CASCADE RINSE5,3787.2,3787.2,30.0,0.0,✗ FAIL
3,SOAK,3537.0,3868.2,300.0,331.2,✓ PASS
4,LOADING/UNLOAD,3863.2,4103.2,240.0,240.0,✓ PASS
3,DERUSTING,3905.4,4205.4,300.0,300.0,✓ PASS
3,CASCADE RINSE3,4235.4,4265.4,30.0,30.0,✓ PASS
3,CASCADE RINSE4,4295.4,4325.4,30.0,30.0,✓ PASS
2,ZINC PHOSPHATING,3762.9,4512.9,750.0,750.0,✓ PASS
2,CASCADE RINSE5,4536.1,4536.1,30.0,0.0,✗ FAIL
4,SOAK,4133.2,4617.1,300.0,483.9,✓ PASS
5,LOADING/UNLOAD,4612.1,4852.1,240.0,240.0,✓ PASS
4,DERUSTING,4654.3,4954.3,300.0,300.0,✓ PASS
4,CASCADE RINSE3,4984.3,5014.3,30.0,30.0,✓ PASS
4,CASCADE RINSE4,5044.3,5074.3,30.0,30.0,✓ PASS
3,ZINC PHOSPHATING,4363.4,5113.4,750.0,750.0,✓ PASS
3,CASCADE RINSE5,5132.2,5132.2,30.0,0.0,✗ FAIL
5,SOAK,4882.1,5213.3,300.0,331.2,✓ PASS
6,LOADING/UNLOAD,5208.2,5448.2,240.0,240.0,✓ PASS
5,DERUSTING,5250.5,5550.5,300.0,300.0,✓ PASS
5,CASCADE RINSE3,5580.5,5610.5,30.0,30.0,✓ PASS
5,CASCADE RINSE4,5640.5,5670.5,30.0,30.0,✓ PASS
4,ZINC PHOSPHATING,5107.9,5857.9,750.0,750.0,✓ PASS
4,CASCADE RINSE5,5881.1,5881.1,30.0,0.0,✗ FAIL
6,SOAK,5478.2,5962.2,300.0,483.9,✓ PASS
7,LOADING/UNLOAD,5957.1,6197.1,240.0,240.0,✓ PASS
6,DERUSTING,5999.4,6299.4,300.0,300.0,✓ PASS
6,CASCADE RINSE3,6329.4,6359.4,30.0,30.0,✓ PASS
6,CASCADE RINSE4,6389.4,6419.4,30.0,30.0,✓ PASS
5,ZINC PHOSPHATING,5708.5,6458.5,750.0,750.0,✓ PASS
5,CASCADE RINSE5,6477.3,6477.3,30.0,0.0,✗ FAIL
7,SOAK,6227.1,6527.1,300.0,300.0,✓ PASS
7,DERUSTING,6564.3,6864.3,300.0,300.0,✓ PASS
7,CASCADE RINSE3,6894.3,6924.3,30.0,30.0,✓ PASS
7,CASCADE RINSE4,6954.3,6984.3,30.0,30.0,✓ PASS
6,ZINC PHOSPHATING,6453.0,7203.0,750.0,750.0,✓ PASS
6,CASCADE RINSE5,7226.2,7226.2,30.0,0.0,✗ FAIL
7,ZINC PHOSPHATING,7022.3,7772.3,750.0,750.0,✓ PASS
7,CASCADE RINSE5,7791.1,7791.1,30.0,0.0,✗ FAIL
8,LOADING/UNLOAD,7867.1,8107.1,240.0,240.0,✓ PASS
8,SOAK,8137.1,8437.1,300.0,300.0,✓ PASS
8,DERUSTING,8474.3,8774.3,300.0,300.0,✓ PASS
8,CASCADE RINSE3,8804.3,8834.3,30.0,30.0,✓ PASS
8,CASCADE RINSE4,8864.3,8894.3,30.0,30.0,✓ PASS
8,ZINC PHOSPHATING,8927.9,9677.9,750.0,750.0,✓ PASS
8,CASCADE RINSE5,9701.1,9701.1,30.0,0.0,✗ FAIL
9,LOADING/UNLOAD,9777.1,10017.1,240.0,240.0,✓ PASS
9,SOAK,10047.1,10347.1,300.0,300.0,✓ PASS
9,DERUSTING,10384.3,10684.3,300.0,300.0,✓ PASS
9,CASCADE RINSE3,10714.3,10744.3,30.0,30.0,✓ PASS
9,CASCADE RINSE4,10774.3,10804.3,30.0,30.0,✓ PASS
9,ZINC PHOSPHATING,10842.3,11592.3,750.0,750.0,✓ PASS
9,CASCADE RINSE5,11611.1,11611.1,30.0,0.0,✗ FAIL
10,LOADING/UNLOAD,11687.1,11927.1,240.0,240.0,✓ PASS
10,SOAK,11957.1,12257.1,300.0,300.0,✓ PASS
10,DERUSTING,12294.3,12594.3,300.0,300.0,✓ PASS
10,CASCADE RINSE3,12624.3,12654.3,30.0,30.0,✓ PASS
10,CASCADE RINSE4,12684.3,12714.3,30.0,30.0,✓ PASS
10,ZINC PHOSPHATING,12747.9,13497.9,750.0,750.0,✓ PASS
10,CASCADE RINSE5,13521.1,13521.1,30.0,0.0,✗ FAIL
