PROJECT ID,Program ID,Wagon Number,Instruction,Instruction Sr No,Instruction Value,LOAD_NO,FlightBar,ACCUMULATED TIME
Program 1,1,1,Wait for sec,1,240,901,FB1,252
Program 1,1,1,Get from,2,1,901,FB1,252
Program 1,1,1,Put on,3,2,901,FB1,270
Program 1,1,1,Wait for sec,4,300,901,FB1,582
Program 1,1,1,Get from,5,2,901,FB1,582
Program 1,1,1,Put on,6,5,901,FB1,607
Program 1,1,1,Get from,7,1,902,FB2,631
Program 1,1,1,Put on,8,2,902,FB2,649
Program 1,1,1,Wait for sec,9,249,901,FB1,919
Program 1,1,1,Get from,10,5,901,FB1,919
Program 1,1,1,Put on,11,6,901,FB1,937
Program 1,1,1,Wait for sec,12,30,901,FB1,979
Program 1,1,1,Get from,13,6,901,FB1,979
Program 1,1,1,Put on,14,7,901,FB1,997
Program 1,1,1,Wait for sec,15,30,901,FB1,1039
Program 1,1,1,Get from,16,7,901,FB1,1039
Program 1,1,1,Put on,17,9,901,FB1,1061
Program 1,1,1,Get from,18,2,902,FB2,1091
Program 1,1,1,Put on,19,5,902,FB2,1116
Program 1,1,1,Get from,20,1,903,FB3,1140
Program 1,1,1,Put on,21,2,903,FB3,1158
Program 1,1,1,Wait for sec,22,249,902,FB2,1428
Program 1,1,1,Get from,23,5,902,FB2,1428
Program 1,1,1,Put on,24,6,902,FB2,1446
Program 1,1,1,Wait for sec,25,30,902,FB2,1488
Program 1,1,1,Get from,26,6,902,FB2,1488
Program 1,1,1,Put on,27,7,902,FB2,1506
Program 1,1,1,Wait for sec,28,30,902,FB2,1548
Program 1,1,1,Get from,29,7,902,FB2,1548
Program 1,1,1,Put on,30,10,902,FB2,1574
Program 1,1,1,Wait for sec,31,231,901,FB1,1823
Program 1,1,1,Get from,32,9,901,FB1,1823
Program 1,1,1,Put on,33,11,901,FB1,1846
Program 1,1,1,Get from,34,11,0,FB1,1858
Program 1,1,1,Put on,35,1,0,FB1,1910
Program 1,1,1,Get from,36,2,903,FB3,1927
Program 1,1,1,Put on,37,5,903,FB3,1952
Program 1,1,1,Wait for sec,38,186,1,FB1,2162
Program 1,1,1,Get from,39,1,1,FB1,2162
Program 1,1,1,Put on,40,2,1,FB1,2180
Program 1,1,1,Wait for sec,41,63,903,FB3,2264
Program 1,1,1,Get from,42,5,903,FB3,2264
Program 1,1,1,Put on,43,6,903,FB3,2282
Program 1,1,1,Wait for sec,44,30,903,FB3,2324
Program 1,1,1,Get from,45,6,903,FB3,2324
Program 1,1,1,Put on,46,7,903,FB3,2342
Program 1,1,1,Wait for sec,47,30,903,FB3,2384
Program 1,1,1,Get from,48,7,903,FB3,2384
Program 1,1,1,Put on,49,9,903,FB3,2406
Program 1,1,1,Get from,50,10,902,FB2,2423
Program 1,1,1,Put on,51,11,902,FB2,2442
Program 1,1,1,Get from,52,11,0,FB2,2454
Program 1,1,1,Put on,53,1,0,FB2,2506
Program 1,1,1,Get from,54,2,1,FB1,2523
Program 1,1,1,Put on,55,5,1,FB1,2548
Program 1,1,1,Wait for sec,56,186,2,FB2,2758
Program 1,1,1,Get from,57,1,2,FB2,2758
