project_id,Program_id,Row,station_no,process_name,Process_NO,Criticality,distance_mm,dip_time_sec,max_dip_time_sec,station_type,can_rest_in _return_path
SMRT,1,1,1,LOADING/UNLOAD,1,LOW,900,240,5000,LOAD,
SMRT,1,1,2,SOAK,2,LOW,1800,300,1000,TANK,
SMRT,1,1,3,CASCADE RINSE1,,,2700,,,,
SMRT,1,1,4,CASCADE RINSE2,,,3600,,,,yes
SMRT,1,1,5,DERUSTING,3,HIGH,4500,300,310,TANK,
SMRT,1,1,6,CASCADE RINSE3,4,MEDIUM,5400,30,35,TANK,
SMRT,1,1,7,CASCADE RINSE4,5,MEDIUM,6300,30,35,TANK,yes
SMRT,1,1,8,ACTIVATION,,,7200,,,,
SMRT,1,1,9,ZINC PHOSPHATING,6,HIGH,8100,750,900,TANK,
SMRT,1,1,10,ZINC PHOSPHATING,6,HIGH,9200,750,900,TANK,
SMRT,1,1,11,CASCADE RINSE5,7,LOW,10300,30,300,TANK,yes
SMRT,1,1,12,CASCADE RINSE6,,,11200,,,,

